,land,barr,mort,mcrun,A,He,Ho,Fis,Dps,Gst,Gstp,Djost
76,pan0,2250,0,7,8.8,0.738449063,0.736625,0.002364555,0.107585227,0.000173158,0.001552764,0.000855765
77,pan0,2250,0,8,8.4,0.707866016,0.709875,-0.003317196,0.113452381,0.000182164,0.003790646,0.000572579
78,pan0,2250,0,9,8.9,0.650799297,0.64225,0.01230475,0.108019663,2.99E-05,0.001981171,0.000272449
79,pan0,2250,25,0,8.4,0.671845078,0.670625,0.001149121,0.113125,0.000261277,0.001657969,0.000636879
80,pan0,2250,25,1,9.2,0.756230156,0.75575,0.001156872,0.10201087,0.000580013,0.001544897,0.000971046
81,pan0,2250,25,2,9.2,0.700696016,0.705125,-0.006054616,0.103125,0.000187083,0.000709783,0.000580016
82,pan0,2250,25,3,9.1,0.710419453,0.714375,-0.004472421,0.104986264,-2.26E-05,0.001206318,0.000423823
83,pan0,2250,25,4,9.2,0.722975,0.72325,0.000893396,0.102880435,0.000362066,5.64E-05,0.000526206
84,pan0,2250,25,5,8.7,0.693898906,0.6945,0.000125313,0.108132184,0.000737605,0.002065077,0.00079017
85,pan0,2250,25,6,9.2,0.655077109,0.6455,0.011615747,0.102622283,0.000562089,0.002348427,0.000567678
86,pan0,2250,25,7,8.7,0.659134297,0.666875,-0.014023071,0.108591954,0.00051211,0.001553858,0.000606823
87,pan0,2250,25,8,8.7,0.71426875,0.72025,-0.007188549,0.109181034,0.000328163,0.003278351,0.000455015
88,pan0,2250,25,9,8.3,0.631056797,0.637125,-0.010143882,0.115045181,0.000323043,0.001645594,0.000214336
89,pan0,2250,50,0,8.9,0.689444609,0.690875,-0.001438626,0.105252809,0.000712303,0.000414655,0.000692955
90,pan0,2250,50,1,8.5,0.671314922,0.676,-0.007031479,0.110617647,0.000646484,0.001862517,0.000820649
91,pan0,2250,50,2,8.2,0.751083672,0.758375,-0.009975221,0.11367378,0.000692601,0.004205025,0.001214538
92,pan0,2250,50,3,8.7,0.706350469,0.708375,-0.002486969,0.107442529,0.000884793,0.000426086,0.001082391
93,pan0,2250,50,4,8.7,0.697881641,0.69775,-8.52E-05,0.109051724,0.000208494,0.000192111,0.000361352
94,pan0,2250,50,5,8.5,0.634108438,0.6415,-0.014159296,0.110764706,0.000784315,0.001075843,0.000771962
95,pan0,2250,50,6,8.6,0.724252891,0.732625,-0.010695372,0.109752907,0.000389988,0.001995556,0.000877467
96,pan0,2250,50,7,8.9,0.713195625,0.706125,0.010739233,0.105379213,0.000693059,0.003034694,0.00119694
97,pan0,2250,50,8,8.8,0.711686875,0.715,-0.002873292,0.106306818,0.000743936,0.002682617,0.001192609
98,pan0,2250,50,9,8.8,0.662777031,0.657125,0.009204196,0.10734375,0.000539217,0.001771982,0.000617983
99,pan0,2250,75,0,8.3,0.696613828,0.693125,0.005326528,0.111822289,0.001101603,0.001899527,0.00091436
100,pan0,2250,75,1,8.3,0.676021719,0.681875,-0.007545622,0.110933735,0.001418046,0.005165376,0.000916131
101,pan0,2250,75,2,8.6,0.679115547,0.671125,0.010007232,0.106686047,0.002086895,0.006031431,0.001628661
102,pan0,2250,75,3,9,0.669499531,0.66525,0.00639967,0.102138889,0.001607856,0.00480634,0.001654873
103,pan0,2250,75,4,7.9,0.660953828,0.659875,-6.12E-05,0.116756329,0.001775853,0.001170156,0.001352802
104,pan0,2250,75,5,8.4,0.670217266,0.672375,-0.003674273,0.111130952,0.001425602,0.006041392,0.000927346
105,pan0,2250,75,6,8,0.677400199,0.678042328,-0.004276198,0.10815625,0.00170125,0.003109946,0.000716836
106,pan0,2250,75,7,8.3,0.600162969,0.598125,0.003578842,0.113012048,0.001028588,0.003838679,0.000776594
