"","type","barr","mort","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"74","ibr4",3000,75,8.1,0.6874508165,0.493423327,0.277138248,0.0283804595,0.2231175105,0.4949551355,0.1023873745
"75","ibr4",3000,100,8.3,0.687598197,0.4919096135,0.2856637645,0.026693954,0.2303792525,0.5519020745,0.1123207705
"76","pan0",0,0,9.05,0.7010208595,0.7080625,-0.00399779,0.1061695665,0.0000264,0.001367018,0.000411626
"77","pan0",0,25,8.85,0.6802247265,0.675875,-0.001580434,0.109235269,-0.00003715,0.001159288,0.000289561
"78","pan0",750,0,9,0.701750938,0.703,-0.003238091,0.1064444445,-0.0000451,0.0013133975,0.000355912
"79","pan0",750,25,8.75,0.675565664,0.679,-0.0026993865,0.1093721425,0.00003645,0.001017595,0.0004245315
"80","pan0",1500,0,9.05,0.696471133,0.6961875,-0.0000861115,0.1054913005,0.0000313,0.0007236175,0.000448558
"81","pan0",1500,25,8.8,0.6963164845,0.6915625,0.0003958,0.108544034,0.0000988555,0.000681286,0.000409322
"82","pan0",1500,50,7.95,0.658263727,0.6592466215,-0.005451055,0.096115057,0.00065082,0.0014319145,0.000175482
"83","pan0",2250,0,8.95,0.707244844,0.7125625,0.0007782275,0.1066537245,0.000199309,0.0017669675,0.0005720235
"84","pan0",2250,25,8.9,0.697297461,0.6998125,-0.002173554,0.106559224,0.0003451145,0.001599726,0.000573847
"85","pan0",2250,50,8.7,0.702116055,0.7019375,-0.0026801305,0.1082471265,0.00069283,0.0018172495,0.000849058
"86","pan0",2250,75,8.3,0.6731194925,0.67175,0.0041332645,0.1110323435,0.001654553,0.0043225095,0.0009217385
"87","pan0",2250,100,5.6,0.502651112,0.492694064,0.00108827,0,-0.000625391,NA,0
"88","pan0",3000,0,8.95,0.701758164,0.5985,0.1485254425,0.0410261995,0.1504673815,0.339003907,0.0620344015
"89","pan0",3000,25,9.1,0.7304601565,0.6111875,0.163096326,0.0376373395,0.1577945345,0.529285145,0.114715369
"90","pan0",3000,50,8.75,0.7127558985,0.596625,0.15066026,0.0381445505,0.159000533,0.4142295915,0.083757443
"91","pan0",3000,75,9.3,0.7293301175,0.6120625,0.1644347705,0.0352755375,0.1599425965,0.501146855,0.1085762525
"92","pan0",3000,100,9.05,0.722870664,0.6165625,0.1536515125,0.0401248105,0.153814448,0.4974092925,0.1059306015
