"","land","barr","mort","mean","sd","meann","ngen"
"277","ibr40",0,25,0.0149,0.0002,637,500
"278","ibr40",0,50,0.0102,0.0002,635,500
"279","ibr40",0,75,0.0051,0.0001,632,500
"280","ibr40",0,100,0,0,627,500
"281","ibr40",750,0,0.0116,0.0003,638,500
"282","ibr40",750,25,0.0088,0.0002,638,500
"283","ibr40",750,50,0.006,0.0001,636,500
"284","ibr40",750,75,0.0032,0.0001,634,500
"285","ibr40",750,100,0,0,633,500
"286","ibr40",1500,0,0.0037,0.0001,637,500
"287","ibr40",1500,25,0.0029,0.0001,636,500
"288","ibr40",1500,50,0.0021,0.0001,637,500
"289","ibr40",1500,75,0.001,0.0001,636,500
"290","ibr40",1500,100,0,0,637,500
"291","ibr40",2250,0,0.0006,0,636,500
"292","ibr40",2250,25,0.0005,0,637,500
"293","ibr40",2250,50,0.0003,0,638,500
"294","ibr40",2250,75,0.0002,0,637,500
"295","ibr40",2250,100,0,0,638,500
"296","ibr40",3000,0,0,0,636,500
"297","ibr40",3000,25,0,0,635,500
"298","ibr40",3000,50,0,0,637,500
"299","ibr40",3000,75,0,0,637,500
"300","ibr40",3000,100,0,0,637,500
"301","ibr41",0,0,0.0399,0.0002,638,500
"302","ibr41",0,25,0.0315,0.0003,636,500
"303","ibr41",0,50,0.0219,0.0002,631,500
"304","ibr41",0,75,0.0113,0.0003,623,500
"305","ibr41",0,100,0,0,611,500
"306","ibr41",750,0,0.0221,0.0002,638,500
"307","ibr41",750,25,0.0172,0.0002,636,500
"308","ibr41",750,50,0.0119,0.0001,634,500
"309","ibr41",750,75,0.0062,0.0002,632,500
"310","ibr41",750,100,0,0,627,500
"311","ibr41",1500,0,0.0079,0.0002,637,500
"312","ibr41",1500,25,0.0062,0.0002,636,500
"313","ibr41",1500,50,0.0042,0.0002,636,500
"314","ibr41",1500,75,0.0022,0.0001,635,500
"315","ibr41",1500,100,0,0,634,500
"316","ibr41",2250,0,0.0012,0.0001,636,500
"317","ibr41",2250,25,0.0009,0.0001,636,500
"318","ibr41",2250,50,0.0006,0,636,500
"319","ibr41",2250,75,0.0003,0,636,500
"320","ibr41",2250,100,0,0,636,500
"321","ibr41",3000,0,0,0,636,500
"322","ibr41",3000,25,0,0,636,500
"323","ibr41",3000,50,0,0,637,500
"324","ibr41",3000,75,0,0,635,500
"325","ibr41",3000,100,0,0,636,500
"326","ibr42",0,0,0.0281,0.0003,665,500
"327","ibr42",0,25,0.022,0.0002,663,500
"328","ibr42",0,50,0.0155,0.0002,661,500
"329","ibr42",0,75,0.0081,0.0001,659,500
"330","ibr42",0,100,0,0,655,500
"331","ibr42",750,0,0.0165,0.0001,665,500
"332","ibr42",750,25,0.0129,0.0002,663,500
