"","x","y","land","barr","mort","lr","road","N","cost","A"
"58098",-0.207523391651113,0.0563104735967024,"ibr41",1.31020706185395,-0.767919455723426,"ibr41_2250_0","2250_0",-0.187260185025117,"-0.392311171551987",4.75
"58099",-0.207523391651113,0.0563104735967024,"ibr41",-0.76394837224559,1.30505640952821,"ibr41_0_75","0_75",1.30705726705661,"-0.392311171551987",5.5
"58100",-0.207523391651113,0.0563104735967024,"ibr41",-0.76394837224559,0.614064454444328,"ibr41_0_50","0_50",1.33511956662622,"-0.392311171551987",5.8
"58101",-0.207523391651113,0.0563104735967024,"ibr41",-0.76394837224559,1.99604836461208,"ibr41_0_100","0_100",1.15271461942375,"-0.392311171551987",5.48
"58102",-0.207523391651113,0.0563104735967024,"ibr41",2.0015922065538,-0.767919455723426,"ibr41_3000_0","3000_0",-0.187260185025117,"-0.392311171551987",3.69
"58103",-0.207523391651113,0.0563104735967024,"ibr41",-0.76394837224559,-0.0769275006395489,"ibr41_0_25","0_25",1.35616629130343,"-0.392311171551987",5.91
"58104",-0.207523391651113,0.0563104735967024,"ibr41",-0.76394837224559,-0.767919455723426,"ibr41_0_0","0_0",1.35616629130343,"-0.392311171551987",6.02
"58105",-0.207523391651113,0.0563104735967024,"ibr41",0.618821917154106,-0.767919455723426,"ibr41_1500_0","1500_0",0.0232070617469571,"-0.392311171551987",5.36
"58106",-0.207523391651113,0.0563104735967024,"ibr42",1.31020706185395,-0.767919455723426,"ibr42_2250_0","2250_0",0.0933628106709818,"-0.392311171551987",4.93
"58107",-0.207523391651113,0.0563104735967024,"ibr42",-0.76394837224559,0.614064454444328,"ibr42_0_50","0_50",1.20883921856297,"-0.392311171551987",5.81
"58108",-0.207523391651113,0.0563104735967024,"ibr42",2.0015922065538,-0.767919455723426,"ibr42_3000_0","3000_0",0.0933628106709818,"-0.392311171551987",4.16
"58109",-0.207523391651113,0.0563104735967024,"ibr42",-0.0725632275457418,-0.767919455723426,"ibr42_750_0","750_0",0.724764550987204,"-0.392311171551987",5.9
"58110",-0.207523391651113,0.0563104735967024,"ibr42",-0.76394837224559,-0.0769275006395489,"ibr42_0_25","0_25",1.21585479345538,"-0.392311171551987",5.71
"58111",-0.207523391651113,0.0563104735967024,"ibr42",-0.76394837224559,1.99604836461208,"ibr42_0_100","0_100",1.08957444539213,"-0.392311171551987",5.97
"58112",-0.207523391651113,0.0563104735967024,"ibr42",0.618821917154106,-0.767919455723426,"ibr42_1500_0","1500_0",0.303830057443056,"-0.392311171551987",5.48
"58113",-0.207523391651113,0.0563104735967024,"ibr42",-0.76394837224559,1.30505640952821,"ibr42_0_75","0_75",1.19480806877817,"-0.392311171551987",5.75
"58114",-0.207523391651113,0.0563104735967024,"ibr42",-0.76394837224559,-0.767919455723426,"ibr42_0_0","0_0",1.21585479345538,"-0.392311171551987",5.81
"58116",-0.207523391651113,0.0563104735967024,"ibr44",1.31020706185395,-0.767919455723426,"ibr44_2250_0","2250_0",-1.25362756867029,"2.54858029460427",3.9
"58117",-0.207523391651113,0.0563104735967024,"ibr44",-0.76394837224559,1.30505640952821,"ibr44_0_75","0_75",-1.26298166852683,"2.54858029460427",4.25
"58118",-0.207523391651113,0.0563104735967024,"ibr44",-0.76394837224559,1.99604836461208,"ibr44_0_100","0_100",-1.42200136608795,"2.54858029460427",3.44
"58119",-0.207523391651113,0.0563104735967024,"ibr44",-0.76394837224559,-0.0769275006395489,"ibr44_0_25","0_25",-0.811646350448937,"2.54858029460427",4.55
"58120",-0.207523391651113,0.0563104735967024,"ibr44",0.618821917154106,-0.767919455723426,"ibr44_1500_0","1500_0",-1.23959641888549,"2.54858029460427",4.44
"58121",-0.207523391651113,0.0563104735967024,"ibr44",-0.76394837224559,-0.767919455723426,"ibr44_0_0","0_0",-0.755521751309717,"2.54858029460427",4.66
"58122",-0.207523391651113,0.0563104735967024,"ibr44",-0.0725632275457418,-0.767919455723426,"ibr44_750_0","750_0",-1.10630049592984,"2.54858029460427",4.52
"58123",-0.207523391651113,0.0563104735967024,"ibr44",2.0015922065538,-0.767919455723426,"ibr44_3000_0","3000_0",-1.25362756867029,"2.54858029460427",3.16
"58124",-0.207523391651113,0.0563104735967024,"ibr44",-0.76394837224559,0.614064454444328,"ibr44_0_50","0_50",-1.09226934614504,"2.54858029460427",4.32
"58125",-0.207523391651113,0.0563104735967024,"ibr45",1.31020706185395,-0.767919455723426,"ibr45_2250_0","2250_0",0.654608802063179,"-0.392311171551987",4.98
"58126",-0.207523391651113,0.0563104735967024,"ibr45",2.0015922065538,-0.767919455723426,"ibr45_3000_0","3000_0",0.654608802063179,"-0.392311171551987",3.94
"58127",-0.207523391651113,0.0563104735967024,"ibr45",-0.76394837224559,-0.767919455723426,"ibr45_0_0","0_0",2.1278795294677,"-0.392311171551987",6.15
"58128",-0.207523391651113,0.0563104735967024,"ibr45",-0.76394837224559,1.30505640952821,"ibr45_0_75","0_75",2.1208639545753,"-0.392311171551987",6.17
"58129",-0.207523391651113,0.0563104735967024,"ibr45",-0.76394837224559,1.99604836461208,"ibr45_0_100","0_100",2.07175493032848,"-0.392311171551987",5.89
"58130",-0.207523391651113,0.0563104735967024,"ibr45",-0.0725632275457418,-0.767919455723426,"ibr45_750_0","750_0",1.42632204022745,"-0.392311171551987",6.18
"58131",-0.207523391651113,0.0563104735967024,"ibr45",-0.76394837224559,0.614064454444328,"ibr45_0_50","0_50",2.1278795294677,"-0.392311171551987",6.14
"58132",-0.207523391651113,0.0563104735967024,"ibr45",0.618821917154106,-0.767919455723426,"ibr45_1500_0","1500_0",0.865076048835253,"-0.392311171551987",5.6
"58133",-0.207523391651113,0.0563104735967024,"ibr45",-0.76394837224559,-0.0769275006395489,"ibr45_0_25","0_25",2.1278795294677,"-0.392311171551987",6.42
"58134",-0.207523391651113,0.0563104735967024,"ibr46",-0.76394837224559,-0.767919455723426,"ibr46_0_0","0_0",1.77710078484757,"-0.392311171551987",5.77
"58135",-0.207523391651113,0.0563104735967024,"ibr46",-0.76394837224559,1.99604836461208,"ibr46_0_100","0_100",1.40527531555024,"-0.392311171551987",5.62
"58136",-0.207523391651113,0.0563104735967024,"ibr46",2.0015922065538,-0.767919455723426,"ibr46_3000_0","3000_0",0.51429730421513,"-0.392311171551987",4.42
"58137",-0.207523391651113,0.0563104735967024,"ibr46",-0.76394837224559,0.614064454444328,"ibr46_0_50","0_50",1.77008520995517,"-0.392311171551987",6.11
"58138",-0.207523391651113,0.0563104735967024,"ibr46",0.618821917154106,-0.767919455723426,"ibr46_1500_0","1500_0",0.724764550987204,"-0.392311171551987",5.52
"58139",-0.207523391651113,0.0563104735967024,"ibr46",-0.76394837224559,-0.0769275006395489,"ibr46_0_25","0_25",1.77710078484757,"-0.392311171551987",6.02
"58140",-0.207523391651113,0.0563104735967024,"ibr46",-0.76394837224559,1.30505640952821,"ibr46_0_75","0_75",1.67186716146154,"-0.392311171551987",5.77
